Year ,Month ,RATED KW,VOLTS ,RATED AMP,TESTING AMP,TEMPERATURE,HUMIDITY ,Fault 
2017,November,0.15,387,0.68,0.39,0.65,0.34,Bearing Jam
2017,November,0.08,330,0.36,0.25,0.18,0.09,Insulation Weak
2017,November,3,355,6.55,3.3,60.67,31.09,Bearing Damage
2017,November,0.12,238,0.54,0.3,0.41,0.21,Bush Jam
2017,November,0.9,261,0.61,0.2,0.53,0.27,Insulation Weak
2017,November,0.08,254,0.36,0.2,0.18,0.09,Bearing Jam
2017,November,3,309,6.55,3.2,60.67,31.09,Bearing Damage
2017,December,,292,,0.1,0.00,0.00,Winding Short
2017,December,45,335,81,27,9278.66,4754.90,Water Penetrater
2017,December,0.75,234,2.1,1.5,6.24,3.20,Bearing Jam
2017,December,0.18,400,1,0.5,1.41,0.72,Bush Jam
2017,December,5.5,206,10.8,5,164.95,84.53,Phase Missing
2017,December,0.9,270,0.61,0.2,0.53,0.27,Insulation Weak
2017,December,0.4,307,3,1.2,12.73,6.52,Over Load
2017,December,0.25,201,0.87,0.7,1.07,0.55,Water Penetrater
2017,December,0.25,373,0.87,0.7,1.07,0.55,Water Penetrater
2017,December,0.15,348,0.68,0.4,0.65,0.34,Over Load
2017,December,3,239,6.8,2.5,65.39,33.51,Water Penetrater
2017,December,3,245,6.47,3.9,59.20,30.34,Winding Short
2017,December,3,270,6.47,4,59.20,30.34,Winding Short
2018,January,0.55,217,1.3,0.9,2.39,1.22,Winding Short
2018,January,9,363,18.2,10.2,468.44,240.06,Water Penetrater
2018,January,9.2,225,19,7.6,510.53,261.62,Water Penetrater
2018,January,0.12,328,0.54,0.2,0.41,0.21,Insulation Weak
2018,January,0.06,389,0.3,0.1,0.13,0.07,Over load
2018,January,1.1,233,2.7,1.3,10.31,5.28,Bearing Damage
2018,January,0.08,384,0.36,0.27,0.18,0.09,Insulation Weak
2018,January,2.2,329,4.35,2.2,26.76,13.71,Water Penetrater
2018,January,0.08,321,0.36,0.25,0.18,0.09,Bearing Jam
2018,January,,284,,3,0.00,0.00,Winding Short
2018,January,0.08,277,0.36,0.2,0.18,0.09,Winding Short
2018,January,0.08,372,0.36,0.21,0.18,0.09,Insulation Weak
2018,January,0.08,216,0.36,0.21,0.18,0.09,Bearing Jam
2018,January,1.1,231,2.13,1.7,6.42,3.29,Over load
2018,January,0.08,345,0.36,0.21,0.18,0.09,Bearing Jam
2018,January,3,370,6.5,3.2,59.75,30.62,Water Penetrater
2018,January,1.75,324,3.4,2.2,16.35,8.38,Winding Short
2018,February,0.75,338,4,1.5,22.63,11.60,Water Penetrater
2018,February,0.75,305,2.1,1.9,6.24,3.20,Bearing Damage
2018,February,,350,,0.1,0.00,0.00,Insulation Weak
2018,February,0.373,370,2,0.9,5.66,2.90,Over load
